ctx_group,mode_range_class,mode_boundary,count,mode_entropy_bits,mean_res_l1
0,0,0,4435,1.7084394948093595,17.51319052987599
0,0,1,115,1.5015023919355674,110.75652173913043
0,1,0,12670,0.3467408773187376,17.969692186266773
0,1,1,124,0.4120079566884628,66.9274193548387
1,0,0,2935,1.2913348991409637,2641.044293015332
1,0,1,1071,1.8465890306551223,1900.0905695611577
1,1,0,8985,1.2090687589836389,230.10217028380634
1,1,1,1162,1.5925859211731321,469.14974182444064
1,2,0,2003,1.8754737453245331,952.045931103345
1,2,1,1188,1.99530847136597,1377.2954545454545
