ctx_group,mode_range_class,mode_boundary,count,mean,median,std,ctx
0,0,0,4435,17.51319052987599,7.0,107.02229772259024,g0_r0_b0
0,0,1,115,110.75652173913043,84.0,161.64774303992257,g0_r0_b1
0,1,0,12670,17.969692186266773,11.0,52.60695037300223,g0_r1_b0
0,1,1,124,66.9274193548387,56.0,43.00750045893332,g0_r1_b1
1,0,0,2935,2641.044293015332,0.0,12411.577224283647,g1_r0_b0
1,0,1,1071,1900.0905695611577,253.0,6137.358746206709,g1_r0_b1
1,1,0,8985,230.10217028380634,21.0,1772.1666177794416,g1_r1_b0
1,1,1,1162,469.14974182444064,187.0,1682.1771919255075,g1_r1_b1
1,2,0,2003,952.045931103345,181.0,3775.4573941910407,g1_r2_b0
1,2,1,1188,1377.2954545454545,492.5,4020.4419100257783,g1_r2_b1
